League Id,Date,Home,Score Home,Away,Score Away,Type,Played,Overtime,Shootout,Game Id
0,2003-10-3,29,0,20,5,Pre-Season,1,0,0,1438
0,2003-10-3,31,1,11,5,Pre-Season,1,0,0,1426
0,2003-10-3,25,2,10,1,Pre-Season,1,0,0,1424
0,2003-10-3,19,6,5,2,Pre-Season,1,0,0,1412
0,2003-10-3,23,1,0,3,Pre-Season,1,0,0,1414
0,2003-10-3,3,0,21,2,Pre-Season,1,0,0,1440
0,2003-10-3,32,4,17,3,Pre-Season,1,0,0,1416
0,2003-10-3,24,0,35,2,Pre-Season,1,0,0,1420
0,2003-10-3,34,2,16,3,Pre-Season,1,0,0,1422
0,2003-10-3,26,2,8,2,Pre-Season,1,1,0,1418
0,2003-10-8,5,1,21,4,Regular Season,1,0,0,0
0,2003-10-8,8,3,35,2,Regular Season,1,0,0,1
0,2003-10-8,12,1,30,5,Regular Season,1,0,0,2
0,2003-10-9,28,2,0,4,Regular Season,1,0,0,8
0,2003-10-9,14,1,17,1,Regular Season,1,1,0,9
0,2003-10-9,18,3,19,4,Regular Season,1,0,0,10
0,2003-10-9,32,0,30,1,Regular Season,1,0,0,7
0,2003-10-9,22,3,20,1,Regular Season,1,0,0,11
0,2003-10-9,33,3,34,2,Regular Season,1,0,0,3
0,2003-10-9,31,0,24,5,Regular Season,1,0,0,6
0,2003-10-9,9,6,11,1,Regular Season,1,0,0,4
0,2003-10-9,23,3,27,1,Regular Season,1,0,0,5
0,2003-10-10,15,2,11,2,Regular Season,1,1,0,15
0,2003-10-10,26,0,16,4,Regular Season,1,0,0,14
0,2003-10-10,29,2,5,5,Regular Season,1,0,0,16
0,2003-10-10,35,2,10,2,Regular Season,1,1,0,13
0,2003-10-10,25,4,8,3,Regular Season,1,0,0,12
0,2003-10-11,28,2,9,3,Regular Season,1,1,0,23
0,2003-10-11,32,2,12,2,Regular Season,1,1,0,22
0,2003-10-11,14,5,15,2,Regular Season,1,0,0,24
0,2003-10-11,22,8,33,3,Regular Season,1,0,0,27
0,2003-10-11,3,1,0,2,Regular Season,1,0,0,25
0,2003-10-11,18,3,23,2,Regular Season,1,0,0,26
0,2003-10-11,17,4,20,3,Regular Season,1,0,0,17
0,2003-10-11,24,0,21,3,Regular Season,1,0,0,18
0,2003-10-11,31,2,5,2,Regular Season,1,1,0,21
0,2003-10-11,34,1,10,2,Regular Season,1,0,0,19
0,2003-10-11,19,2,27,5,Regular Season,1,0,0,20
0,2003-10-12,35,2,27,1,Regular Season,1,0,0,31
0,2003-10-12,30,0,26,1,Regular Season,1,0,0,30
0,2003-10-12,25,3,16,1,Regular Season,1,0,0,29
0,2003-10-12,8,3,11,5,Regular Season,1,0,0,28
0,2003-10-13,3,3,22,1,Regular Season,1,0,0,35
0,2003-10-13,34,3,18,2,Regular Season,1,0,0,34
0,2003-10-13,24,0,31,2,Regular Season,1,0,0,33
0,2003-10-13,17,1,12,3,Regular Season,1,0,0,32
0,2003-10-14,0,0,22,0,Regular Season,1,1,0,38
0,2003-10-14,19,3,23,3,Regular Season,1,1,0,37
0,2003-10-14,33,1,20,3,Regular Season,1,0,0,36
0,2003-10-15,11,3,28,0,Regular Season,1,0,0,41
0,2003-10-15,12,1,5,3,Regular Season,1,0,0,39
0,2003-10-15,31,2,26,2,Regular Season,1,1,0,40
0,2003-10-16,32,3,16,2,Regular Season,1,0,0,48
