Season,TeamId,ES L1 LW,ES L1 C,ES L1 RW,ES L1 LD,ES L1 RD,ES L2 LW,ES L2 C,ES L2 RW,ES L2 LD,ES L2 RD,ES L3 LW,ES L3 C,ES L3 RW,ES L3 LD,ES L3 RD,ES L4 LW,ES L4 C,ES L4 RW,ES L4 LD,ES L4 RD,PP5on4 L1 LW,PP5on4 L1 C,PP5on4 L1 RW,PP5on4 L1 LD,PP5on4 L1 RD,PP5on4 L2 LW,PP5on4 L2 C,PP5on4 L2 RW,PP5on4 L2 LD,PP5on4 L2 RD,PP5on3 L1 LW,PP5on3 L1 C,PP5on3 L1 RW,PP5on3 L1 LD,PP5on3 L1 RD,PP5on3 L2 LW,PP5on3 L2 C,PP5on3 L2 RW,PP5on3 L2 LD,PP5on3 L2 RD,PP4on3 L1 F1,PP4on3 L1 F2,PP4on3 L1 LD,PP4on3 L1 RD,PP4on3 L2 F1,PP4on3 L2 F2,PP4on3 L2 LD,PP4on3 L2 RD,PK4on5 L1 F1,PK4on5 L1 F2,PK4on5 L1 LD,PK4on5 L1 RD,PK4on5 L2 F1,PK4on5 L2 F2,PK4on5 L2 LD,PK4on5 L2 LD.1,PK4on5 L3 F1,PK4on5 L3 F2,PK4on5 L3 LD,PK4on5 L3 LD.1,PK3on5 L1 F1,PK3on5 L1 LD,PK3on5 L1 RD,PK3on5 L2 F1,PK3on5 L2 LD,PK3on5 L2 LD.1,PK3on4 L1 F1,PK3on4 L1 LD,PK3on4 L1 RD,PK3on4 L2 F1,PK3on4 L2 LD,PK3on4 L2 LD.1,4on4 L1 F1,4on4 L1 F2,4on4 L1 LD,4on4 L1 RD,4on4 L2 F1,4on4 L2 F2,4on4 L2 LD,4on4 L2 LD.1,3on3 L1 F1,3on3 L1 LD,3on3 L1 RD,3on3 L2 F1,3on3 L2 LD,3on3 L2 LD.1,Shootout 1,Shootout 2,Shootout 3,Shootout 4,Shootout 5,Goalie 1,Goalie 2,Extra Attacker 1,Extra Attacker 2
2034/2035,25,134496,78330,78168,41702,77839,1132,73617,131602,57610,147494,76057,42522,77545,183071,158513,55832,128186,55553,,,55832,73617,78168,41702,57610,134496,128186,55553,147494,158513,55832,73617,78168,41702,57610,134496,128186,55553,147494,158513,73617,78168,57610,41702,128186,55832,55553,147494,78168,78330,183071,77839,131602,1132,57610,158513,76057,42522,41702,147494,78168,183071,77839,78330,57610,158513,78168,183071,77839,78330,57610,158513,134496,78168,57610,77839,1132,78330,41702,147494,134496,78168,57610,1132,78330,41702,55553,78168,42522,128186,55832,78199,19814,78168,55553
2034/2035,26,152491,29167,151484,164900,151494,15003,19922,170666,74148,76061,165714,45166,180228,35627,2812,126823,77546,171519,,,,29167,170666,164900,151494,152491,15003,,74148,,,29167,170666,164900,151494,152491,15003,,74148,,151484,19922,,164900,170666,29167,74148,,45166,152491,164900,74148,180228,170666,,35627,,171519,,151494,152491,35627,74148,45166,164900,151494,152491,35627,74148,45166,164900,151494,,170666,164900,74148,151484,19922,,151494,,170666,164900,151484,,74148,152491,29167,19922,164900,45166,149840,159336,170666,19922
2034/2035,27,153381,132326,18626,47943,74780,147976,78160,177406,78316,63706,131851,19507,165271,56219,126296,18497,78328,147881,,,153381,132326,18626,47943,74780,147976,78160,177406,19507,63706,153381,132326,18626,47943,74780,147976,78160,177406,19507,63706,153381,132326,74780,47943,18626,78160,19507,63706,18497,131851,78316,63706,78328,177406,56219,74780,165271,132326,47943,126296,131851,78316,63706,18497,56219,74780,18497,78316,63706,131851,56219,74780,153381,132326,47943,74780,18626,78160,78316,63706,153381,132326,47943,18626,78160,74780,132326,153381,131851,78160,78328,7653,35346,132326,153381
2034/2035,28,148106,73618,35623,36151,159753,45155,57636,58058,17602,57223,19881,128043,74562,29847,159538,149096,156489,132295,,,148106,73618,35623,159753,57223,19881,57636,58058,45155,36151,148106,73618,35623,159753,57223,45155,57636,58058,19881,36151,58058,35623,57223,159753,148106,73618,19881,36151,132295,74562,36151,159753,35623,148106,17602,57223,73618,58058,29847,159538,74562,36151,159753,132295,17602,57223,74562,36151,159753,132295,17602,57223,58058,35623,36151,159753,148106,73618,17602,57223,58058,35623,159753,148106,73618,57223,159753,148106,19881,45155,29847,76064,138555,148106,35623
2034/2035,29,56636,12483,74016,63335,133961,45159,159911,151034,7107,29250,77541,78164,78015,73623,162245,160307,35600,157925,,,56636,12483,35600,45159,29250,78164,159911,74016,7107,133961,56636,12483,35600,45159,29250,78164,159911,74016,7107,133961,56636,12483,45159,29250,78164,159911,35600,7107,74016,160307,63335,133961,151034,77541,7107,162245,12483,78015,29250,73623,160307,63335,133961,74016,7107,162245,160307,63335,133961,74016,7107,162245,56636,12483,63335,133961,159911,45159,7107,29250,56636,12483,133961,159911,45159,29250,12483,157925,78164,159911,35600,34903,36000,12483,45159
2034/2035,30,34005,58015,19871,155642,34937,128538,40091,78179,132746,164350,13216,78309,154163,73629,146246,562,41701,159845,,,34005,58015,78179,40091,155642,128538,78309,154163,34937,164350,34005,58015,78179,40091,155642,128538,78309,154163,34937,164350,40091,58015,34005,155642,78309,78179,154163,34937,19871,128538,132746,146246,58015,13216,73629,34937,34005,40091,155642,164350,19871,132746,146246,128538,73629,34937,19871,132746,146246,128538,73629,34937,40091,58015,155642,34937,19871,34005,132746,146246,40091,58015,155642,19871,34005,34937,34005,155642,13216,40091,562,163708,132336,58015,40091
2034/2035,31,63340,1272,54996,148230,148180,78173,42380,78312,178473,148992,157944,56065,8549,17342,181145,160495,172307,154619,,,63340,1272,78312,148180,148230,54996,42380,154619,8549,178473,63340,1272,78312,148180,148230,54996,42380,154619,178473,148992,63340,1272,78312,148180,154619,42380,54996,148230,54996,8549,148230,181145,56065,78173,178473,148992,157944,172307,17342,148180,54996,148992,181145,8549,148230,178473,54996,148992,181145,8549,148230,178473,54996,1272,148230,148180,78312,63340,178473,148992,54996,1272,148180,78312,63340,148992,1272,154619,157944,42380,8549,32546,163540,1272,54996
2034/2035,32,74755,158886,36190,19567,19798,12574,19505,132297,77527,134418,56173,56218,77540,158915,150378,164392,36920,147529,,,12574,158886,132297,36920,19567,147529,19505,77540,164392,150378,12574,158886,132297,36920,19567,147529,19505,77540,164392,150378,132297,158886,36920,19567,12574,77540,147529,150378,36190,56218,158915,134418,74755,19505,77527,19798,158886,56173,19567,150378,56218,158915,134418,36190,77527,19798,56218,158915,134418,36190,77527,19798,36190,158886,19567,19798,132297,19505,77527,134418,36190,158886,19798,132297,19505,19567,19505,158886,132297,36190,150378,57222,149991,19505,158886
2034/2035,33,128780,57601,57643,35150,132368,515,74067,42328,179602,152361,76059,56226,979,58181,146640,14769,154474,18461,,,515,18461,979,14769,35150,128780,154474,57643,132368,179602,515,18461,979,14769,35150,128780,154474,57643,132368,179602,14769,515,979,35150,154474,18461,179602,132368,56226,57643,35150,152361,128780,57601,179602,146640,76059,42328,58181,132368,56226,35150,152361,57643,179602,146640,56226,35150,152361,57643,179602,146640,57601,57643,35150,132368,128780,515,179602,152361,57601,57643,35150,128780,515,132368,18461,76059,57601,154474,152361,126542,52342,57643,57601
2034/2035,34,123775,34928,44789,148636,166008,971,45157,151971,160155,41757,128398,76069,160443,74631,167060,149788,157920,128855,,,149788,34928,44789,45157,41757,157920,76069,160443,151971,167060,149788,34928,44789,45157,41757,157920,76069,160443,151971,167060,34928,44789,45157,41757,149788,76069,160443,167060,123775,128398,148636,166008,45157,34928,160155,41757,971,76069,74631,167060,123775,148636,166008,128398,160155,41757,123775,148636,166008,128398,160155,41757,45157,34928,148636,166008,123775,76069,160155,41757,45157,34928,74631,123775,76069,166008,45157,74631,971,167060,123775,77874,56342,45157,34928
2034/2035,35,132257,148720,5339,73808,1063,57569,63448,56170,29048,78339,77633,147681,78324,174581,166628,135270,169595,126799,,,132257,148720,5339,63448,78339,77633,169595,56170,135270,29048,132257,148720,5339,63448,78339,77633,169595,56170,135270,29048,132257,148720,5339,78339,56170,63448,169595,29048,57569,78324,174581,166628,147681,77633,73808,1063,148720,126799,29048,78339,78324,174581,166628,77633,73808,1063,78324,174581,166628,57569,73808,1063,132257,148720,73808,1063,5339,63448,29048,78339,132257,148720,73808,63448,5339,1063,78324,77633,5339,57569,63448,17601,70437,148720,132257
2034/2035,4182,148802,132825,176,176753,131761,165689,19840,1464,154680,52769,18661,63778,149955,175122,174981,6601,,15513,,,165689,132825,1464,149955,131761,18661,19840,6601,52769,174981,165689,132825,1464,149955,131761,18661,19840,6601,52769,174981,1464,132825,165689,131761,18661,149955,19840,52769,176,148802,176753,154680,63778,15513,52769,174981,132825,,175122,131761,176,176753,154680,148802,52769,174981,148802,176753,154680,176,52769,174981,148802,132825,176753,131761,1464,176,154680,52769,148802,132825,131761,1464,176,52769,19840,165689,148802,18661,132825,133784,128962,132825,148802
2034/2035,4838,28662,8871,17595,78166,78304,158285,19402,57586,126113,148977,63532,34902,150569,162251,165409,131403,132282,154693,,,28662,19402,17595,34902,78166,158285,132282,57586,162251,165409,28662,19402,17595,34902,78166,158285,132282,57586,162251,165409,19402,28662,34902,78166,132282,158285,17595,162251,8871,154693,126113,78304,17595,150569,78166,148977,63532,57586,162251,165409,154693,126113,78304,8871,78166,148977,154693,126113,78304,8871,78166,148977,17595,28662,78166,78304,8871,57586,126113,148977,17595,28662,78166,8871,57586,126113,57586,28662,132282,19402,63532,147969,154732,28662,57586
2034/2035,5088,1193,32820,132193,126850,55705,45160,77476,9445,163835,77643,150383,1382,169130,137670,181949,161875,33960,45152,,,1193,32820,132193,55705,163835,150383,1382,161875,77643,126850,1193,32820,132193,1382,55705,150383,33960,161875,163835,77643,132193,32820,1193,55705,161875,1382,150383,77643,77476,9445,126850,181949,169130,33960,163835,55705,45152,45160,137670,77643,77476,126850,181949,9445,163835,55705,77476,126850,181949,9445,163835,55705,132193,32820,126850,55705,9445,77476,163835,77643,132193,32820,55705,9445,77476,126850,9445,169130,150383,1193,32820,154196,8441,32820,132193
2034/2035,5090,12572,161623,150562,77890,134550,26038,57577,76050,147410,676,386,78314,132440,77865,130132,170309,100,63332,,,26038,161623,150562,12572,77890,76050,57577,386,134550,676,26038,161623,150562,676,77890,12572,57577,386,76050,134550,150562,161623,676,77890,26038,12572,386,134550,57577,76050,77890,134550,150562,161623,676,130132,12572,78314,147410,77865,76050,77890,134550,161623,130132,147410,76050,77890,130132,150562,147410,134550,150562,161623,77890,676,12572,26038,76050,134550,150562,161623,77890,12572,26038,134550,161623,26038,150562,132440,,164818,52431,161623,150562
2034/2035,5092,18293,15444,58013,57216,6843,74709,45224,131987,128645,78326,42338,168486,174961,153575,168445,77738,32928,155582,,,18293,15444,131987,45224,128645,42338,74709,174961,77738,57216,18293,15444,131987,45224,128645,42338,74709,174961,77738,57216,18293,15444,45224,128645,42338,74709,131987,153575,155582,58013,57216,168445,15444,18293,128645,6843,74709,45224,153575,78326,58013,57216,168445,155582,78326,6843,58013,57216,168445,155582,78326,6843,18293,15444,57216,6843,74709,45224,128645,78326,15444,18293,57216,74709,45224,128645,18293,15444,58013,42338,131987,69415,171286,18293,45224
2034/2035,5098,56637,1436,138106,11686,77862,77861,77871,558,64955,76052,57563,953,151033,11578,127701,158581,154322,154899,,,56637,558,151033,64955,77862,158581,1436,,11578,154899,56637,558,151033,64955,77862,158581,1436,,11578,154899,56637,558,64955,77862,,1436,11578,154899,558,,11686,77862,151033,77871,64955,,,953,11578,127701,,11686,77862,,64955,127701,,11686,77862,,64955,127701,56637,558,11686,77862,151033,77871,64955,127701,56637,558,77862,151033,77871,11686,558,,151033,56637,1436,77864,35050,558,151033
