PlayerId,Year,TeamId,LeagueId,GP,G,A,PIM,+/-,PP G,PP A,SH G,SH A,GR,GWG,SOG,FO,FO W,HIT,GvA,TkA,SB,TOI,PPTOI,SHTOI,Fights,Fights Won
16250,2023,876,4,7,1,0,4,3,0,0,0,0,57,0,3,0,0,2,5,3,0,4208,0,1294,0,0
16257,2023,1414,48,3,0,1,0,1,0,0,0,0,59,0,3,1,1,2,1,1,0,1142,0,76,0,0
16257,2022,1414,48,6,0,1,2,-4,0,0,0,0,55,0,5,3,1,6,1,1,1,3723,0,0,0,0
16299,2026,1880,2,1,0,0,0,0,0,0,0,0,68,0,1,0,0,0,1,0,0,836,66,0,0,0
16299,2025,2168,2,6,0,2,2,0,0,0,0,0,65,0,10,0,0,3,2,0,5,5603,955,99,0,0
16299,2024,882,4,5,0,2,2,2,0,0,0,0,64,0,3,0,0,1,1,2,6,2780,143,140,0,0
16299,2023,882,4,4,1,0,0,0,0,0,0,0,67,1,11,0,0,5,2,0,6,2883,1218,41,0,0
16299,2022,573,3,3,1,0,2,-1,1,0,0,0,77,0,15,0,0,8,0,2,2,2615,938,49,0,0
16337,2026,545,24,1,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,48,0,0,0,0
16337,2025,545,24,1,0,0,0,-2,0,0,0,0,62,0,0,18,10,0,1,1,0,863,74,146,0,0
16337,2024,545,24,5,1,1,2,-1,0,1,0,0,66,1,10,65,31,2,1,2,5,3737,459,102,0,0
16337,2023,545,24,7,0,1,2,-1,0,0,0,0,69,0,11,88,53,6,1,4,4,5983,304,267,0,0
16337,2022,543,24,4,0,1,0,-3,0,0,0,0,57,0,3,21,7,2,0,0,1,1799,306,0,0,0
16356,2026,876,4,6,0,3,6,1,0,0,0,1,59,0,11,58,28,8,3,1,3,4105,86,1033,0,0
16356,2025,876,4,3,0,1,4,-3,0,0,0,0,68,0,5,68,33,2,2,2,2,2430,1040,215,0,0
16356,2024,876,4,6,0,2,4,2,0,0,0,0,64,0,6,81,40,15,2,1,0,5279,206,913,0,0
16356,2023,876,4,7,3,2,4,2,1,0,0,0,58,0,7,86,50,4,3,0,3,5794,114,908,0,0
16356,2022,876,4,3,1,1,0,-2,0,1,0,0,68,1,4,43,30,5,0,2,4,2583,43,704,0,0
16411,2026,877,4,4,0,0,4,-2,0,0,0,0,60,0,6,36,16,1,0,1,3,2297,131,433,0,0
16411,2025,877,4,1,0,0,2,1,0,0,0,0,72,0,0,5,4,0,0,2,1,714,70,0,0,0
16411,2024,877,4,4,0,2,0,2,0,0,0,0,66,0,6,54,33,2,0,1,0,3274,49,52,0,0
16411,2023,877,4,6,0,2,4,0,0,1,0,0,70,0,12,61,31,4,1,3,5,4252,523,206,0,0
16411,2022,877,4,5,0,7,0,0,0,1,0,0,74,0,4,74,31,8,4,3,3,4603,1161,3,0,0
16883,2026,742,2,7,0,1,2,-1,0,0,0,0,59,0,7,8,3,6,2,2,2,4794,334,819,0,0
16883,2025,739,2,5,0,0,6,-3,0,0,0,0,58,0,4,14,9,4,4,1,3,3510,476,623,0,0
16883,2024,748,2,6,0,2,6,1,0,0,0,0,73,0,8,3,2,4,3,3,13,5317,565,224,0,0
16883,2023,748,2,7,1,6,2,2,0,1,0,0,69,0,15,3,1,11,1,2,4,6331,686,343,0,0
16883,2022,752,2,7,3,3,0,4,0,0,0,0,69,1,15,9,4,10,4,5,7,5663,178,559,0,0
17003,2025,736,2,2,0,0,2,-1,0,0,0,0,47,0,3,0,0,0,2,0,1,798,0,229,0,0
17003,2024,736,2,6,0,0,0,-1,0,0,0,0,61,0,12,0,0,4,3,1,4,4400,1039,393,0,0
17003,2023,736,2,7,1,1,4,0,0,0,0,0,60,0,10,3,0,6,1,2,5,5384,87,821,0,0
17003,2022,736,2,7,0,3,2,2,0,0,0,0,59,0,4,0,0,6,3,2,6,3863,168,399,0,0
17031,2026,742,2,4,0,1,0,-3,0,0,0,0,57,0,8,0,0,4,2,0,3,3165,430,0,0,0
17031,2025,742,2,6,1,0,2,-1,0,0,0,0,59,1,9,2,1,3,0,1,1,3684,678,0,0,0
17031,2024,743,2,7,3,1,0,1,1,1,0,0,62,0,11,9,3,4,3,2,4,5337,762,538,0,0
17031,2023,743,2,7,0,3,6,-1,0,1,0,0,67,0,20,1,1,7,4,2,3,6035,1465,43,0,0
17031,2022,743,2,7,1,1,2,3,0,1,0,0,65,0,10,11,3,10,0,1,3,4938,1348,172,0,0
17049,2026,744,2,2,0,0,2,-1,0,0,0,0,57,0,4,11,4,0,0,0,1,1344,59,43,0,0
17049,2025,732,2,3,0,0,5,1,0,0,0,0,58,0,4,4,1,0,0,1,1,1343,193,91,1,0
17049,2024,732,2,5,0,0,0,2,0,0,0,0,59,0,5,5,2,1,1,0,1,3116,546,41,0,0
17049,2023,732,2,7,0,3,0,3,0,1,0,0,64,0,16,16,10,4,2,2,2,5035,774,412,0,0
17049,2022,14,0,3,0,0,0,-1,0,0,0,0,60,0,7,5,4,0,0,0,5,2361,465,0,0,0
17050,2026,885,48,5,0,2,0,1,0,1,0,0,60,0,8,6,5,5,2,1,0,3775,452,11,0,0
17050,2025,885,48,6,0,1,2,-3,0,0,0,0,56,0,5,7,2,3,2,0,1,3969,20,0,0,0
17050,2024,885,48,6,0,1,2,0,0,0,0,0,62,0,6,17,8,11,2,1,7,5140,58,574,0,0
17050,2023,885,48,7,1,3,4,1,0,1,0,0,68,0,12,75,38,8,1,1,4,4808,1348,32,0,0
17050,2022,24,0,2,1,0,0,-1,0,0,0,0,56,1,2,9,5,2,0,0,0,1285,379,0,0,0
17207,2026,945,48,7,3,2,2,3,1,1,0,0,71,1,12,0,0,3,1,2,3,4460,1385,54,0,0
17207,2025,1880,2,7,1,3,0,2,1,1,0,0,64,0,15,0,0,5,3,2,5,3564,854,120,0,0
17207,2024,741,2,5,0,0,0,-4,0,0,0,0,52,0,2,0,0,2,0,1,2,2311,0,5,0,0
17207,2023,741,2,4,1,2,0,-2,1,1,0,0,67,0,10,3,3,4,1,2,2,2502,1121,31,0,0
17244,2026,749,2,4,0,0,0,-2,0,0,0,0,61,0,3,0,0,1,0,3,4,1544,0,705,0,0
17244,2025,749,2,7,0,0,0,-3,0,0,0,0,59,0,6,0,0,2,1,4,6,4501,0,699,0,0
17244,2024,749,2,7,0,2,2,-3,0,1,0,0,65,0,9,0,0,6,6,1,10,5304,1287,576,0,0
17244,2023,736,2,7,0,2,8,-1,0,0,0,0,64,0,10,0,0,4,3,3,19,6173,423,1136,0,0
17244,2022,736,2,7,1,5,2,5,0,0,0,0,72,0,14,0,0,12,4,3,6,6149,1240,336,0,0
17298,2026,734,2,1,0,0,0,0,0,0,0,0,49,0,0,1,0,0,0,0,0,377,0,104,0,0
17298,2025,2168,2,5,0,0,0,-2,0,0,0,0,55,0,0,26,11,7,1,0,3,1903,78,593,0,0
17298,2024,2168,2,7,0,0,2,-1,0,0,0,0,56,0,4,22,11,4,2,1,3,3677,0,1216,0,0
17298,2023,2168,2,6,2,1,16,2,0,0,0,0,62,1,8,3,0,2,1,1,2,4005,108,722,0,0
17298,2022,2168,2,7,1,0,2,-3,0,0,1,0,56,0,9,9,4,4,3,1,0,4313,323,1200,0,0
17381,2026,1922,59,7,0,0,2,2,0,0,0,0,61,0,4,0,0,7,1,1,9,4350,141,1483,0,0
17381,2025,1922,59,7,0,0,0,3,0,0,0,0,63,0,6,0,0,7,0,2,5,4994,44,1150,0,0
17381,2024,2187,59,7,0,1,0,3,0,0,0,0,62,0,8,0,0,11,6,4,11,5883,279,1054,0,0
17381,2023,2187,59,7,1,2,0,2,1,0,0,0,61,0,15,0,0,9,1,5,8,6194,230,1444,0,0
17381,2022,2187,59,7,0,2,4,3,0,0,0,0,67,0,11,0,0,2,1,4,20,6320,298,1331,0,0
17408,2026,744,2,5,0,0,0,-2,0,0,0,0,54,0,3,12,5,5,2,0,0,2803,564,45,0,0
17408,2025,738,2,4,2,1,0,4,1,1,0,0,65,0,8,5,3,3,1,2,1,2548,1157,0,0,0
17408,2024,738,2,6,1,3,2,-3,0,2,0,0,63,0,10,8,5,3,3,0,1,4823,1407,0,0,0
17408,2023,745,2,6,1,3,0,2,0,1,0,0,67,0,8,8,2,4,2,1,3,4233,1042,59,0,0
17408,2022,54,1,5,0,0,0,-3,0,0,0,0,59,0,7,2,0,3,1,1,1,3511,348,0,0,0
17408,2022,22,0,2,1,1,0,1,0,0,0,0,65,0,4,0,0,3,1,0,1,1186,0,0,0,0
17554,2024,2168,2,5,0,2,0,-1,0,0,0,0,65,0,3,57,26,5,1,0,2,3242,43,732,0,0
17554,2023,740,2,4,1,0,0,1,0,0,0,0,65,0,5,24,11,7,0,0,7,2205,0,641,0,0
17554,2022,54,1,1,0,0,0,-1,0,0,0,0,75,0,3,15,6,2,0,1,2,825,0,146,0,0
17738,2025,747,2,4,0,0,0,-3,0,0,0,0,57,0,4,8,4,0,1,1,0,1585,0,94,0,0
17738,2024,732,2,6,2,2,0,1,1,0,0,0,60,0,15,10,7,5,2,2,2,5029,111,474,0,0
17738,2023,732,2,7,1,1,4,0,0,0,0,0,56,0,9,4,2,3,2,1,0,3705,18,39,0,0
17738,2022,2168,2,7,2,1,2,-4,1,0,0,0,70,0,14,8,5,6,2,4,4,5193,1352,22,0,0
17817,2022,888,48,6,1,1,2,-4,0,0,0,0,60,0,10,8,3,9,4,4,5,5100,471,71,0,0
17868,2025,874,4,1,1,0,0,1,0,0,0,0,55,0,1,0,0,1,0,0,0,332,0,46,0,0
18245,2026,633,6,5,0,0,4,-1,0,0,0,0,60,0,3,43,26,8,0,0,2,3348,3,647,0,0
18245,2025,633,6,5,0,2,2,1,0,1,0,0,65,0,8,62,29,11,4,1,3,3152,132,1147,0,0
18245,2024,633,6,6,1,2,4,1,0,0,0,0,63,1,4,56,32,9,4,0,5,4127,32,675,0,0
18245,2023,633,6,6,0,3,2,3,0,0,0,0,65,0,8,57,36,4,6,2,3,3887,9,1202,0,0
18245,2022,633,6,1,1,0,0,1,0,0,0,0,76,1,3,16,8,2,1,0,1,786,33,132,0,0
18251,2026,894,4,5,1,0,2,0,0,0,0,0,54,0,2,2,1,3,0,1,1,2268,0,99,0,0
18251,2025,897,4,3,1,0,0,0,0,0,0,0,63,0,3,15,9,1,0,0,1,897,595,0,0,0
18251,2024,897,4,7,0,1,0,-1,0,0,0,0,59,0,4,21,8,4,0,1,3,3398,53,369,0,0
18251,2022,57,1,1,2,0,0,0,2,0,0,0,87,1,4,6,5,0,1,1,2,455,395,0,0,0
18718,2023,634,6,3,0,0,2,-1,0,0,0,0,59,0,2,22,14,5,1,0,1,2312,124,233,0,0
18718,2022,634,6,6,0,3,14,-2,0,2,0,0,74,0,14,85,54,12,2,1,2,4551,1502,0,0,0
18734,2022,19,0,3,0,0,2,-2,0,0,0,0,58,0,5,0,0,3,4,2,2,2354,49,8,0,0
18734,2023,19,0,7,1,1,0,-2,0,1,0,0,67,1,9,1,1,11,4,7,2,3802,116,107,0,0
18734,2024,17,0,3,1,0,0,1,0,0,0,0,69,0,3,0,0,7,2,0,1,1324,458,21,0,0
18734,2025,17,0,2,0,0,0,-1,0,0,0,0,64,0,5,0,0,7,1,0,0,1944,162,0,0,0
18734,2025,39,1,1,0,2,2,1,0,0,0,0,75,0,3,5,2,1,2,0,0,850,421,65,0,0
18734,2026,39,1,4,1,0,2,-1,0,0,0,0,58,0,4,5,2,6,1,0,2,2005,317,177,0,0
18748,2023,73,10,7,1,5,6,3,0,0,0,0,62,0,14,0,0,3,3,0,6,6214,924,564,0,0
18748,2022,73,10,7,1,3,4,2,0,0,0,0,67,1,12,0,0,7,2,3,6,6632,1022,937,0,0
