PlayerId,Year,Team Id,League Id,GP,Min,W,L,T/OL,ENG,SO,GA,SA,GR
161603,2027,4777,34,30,106960,21,7,2,0,0,67,931,58
161603,2026,4979,111,21,73033,15,5,1,1,0,40,558,43
161603,2025,4968,110,32,109027,18,11,3,3,0,98,947,40
174662,2034,1368,32,15,48251,6,1,4,0,0,46,372,55
174662,2033,136,13,17,50768,10,3,0,0,0,39,337,55
174662,2033,4975,105,2,7801,1,0,1,0,0,6,60,80
174662,2032,136,13,2,7644,0,0,2,0,0,7,80,73
174662,2032,4975,105,42,150299,22,14,6,1,0,109,1241,67
174662,2031,4975,105,5,19136,4,1,0,0,0,12,164,70
174662,2031,136,13,2,7500,1,0,1,0,0,6,44,57
174662,2031,4777,34,21,72323,13,7,1,0,0,53,589,54
174662,2030,4777,34,16,52577,7,7,2,1,0,47,439,50
174662,2029,2025,109,26,87115,14,8,4,1,0,72,728,44
174662,2028,2007,110,22,78074,17,3,2,3,0,51,651,41
179922,2034,201,14,23,82591,12,10,1,0,3,61,662,67
179922,2033,266,35,36,126845,32,3,1,0,0,70,1066,58
179922,2032,4683,243,36,128249,23,9,4,0,1,74,1056,64
179922,2031,4683,243,25,84050,13,6,6,0,0,51,717,60
179922,2030,2026,109,31,107061,15,13,3,2,0,93,838,44
179922,2029,2008,110,30,100465,15,14,1,0,0,91,865,42
30762,2034,777,8,27,91776,17,8,2,1,0,67,768,69
30762,2033,794,8,43,150534,22,20,1,3,0,111,1227,67
30762,2032,776,8,40,139499,24,11,5,0,0,90,1151,69
30762,2031,794,8,42,140094,21,16,5,3,0,111,1152,73
30762,2030,2182,8,40,139153,27,11,2,0,0,85,1167,71
30762,2029,2182,8,40,140675,28,9,3,0,0,85,1144,76
30762,2028,2182,8,39,134638,24,12,3,2,0,106,1162,77
30762,2027,520,5,26,94782,18,6,2,1,1,51,714,75
30762,2026,524,5,40,138758,22,13,4,2,3,101,1137,68
30762,2025,16,0,47,170100,22,19,6,5,5,122,1332,69
30762,2017,1470,83,22,75240,0,0,0,0,0,72,783,0
30762,2017,1472,5,9,30780,0,0,0,0,0,19,238,0
30762,2018,60,1,34,116280,0,0,0,0,0,82,921,0
30762,2019,60,1,33,112860,0,0,0,0,0,97,890,0
30762,2020,518,5,11,37620,0,0,0,0,0,25,263,0
30762,2020,60,1,8,27360,0,0,0,0,0,24,235,0
30762,2020,27,0,10,29520,3,5,0,0,0,26,258,0
30762,2021,151,10,2,7200,0,0,0,0,0,3,70,0
30762,2021,26,0,2,4200,0,0,0,0,0,3,35,0
30762,2021,44,1,22,75240,0,0,0,0,0,93,641,0
30762,2022,511,5,41,147791,25,15,1,1,3,103,1150,71
30762,2023,511,5,48,172315,26,20,2,1,5,117,1399,73
30762,2024,879,4,45,161089,21,20,4,1,4,109,1222,68
201431,2034,3778,191,1,3600,1,0,0,0,0,4,34,44
201431,2033,3777,192,2,7200,0,2,0,1,0,7,52,46
191389,2034,4681,243,15,54389,7,5,3,0,0,35,455,60
191389,2033,4681,243,23,74528,12,8,3,1,1,52,626,52
191389,2032,1591,109,24,87824,15,6,3,0,0,65,704,42
191389,2031,2621,110,27,86628,16,11,0,2,0,83,718,39
161634,2034,75,10,4,14672,2,2,0,1,0,15,128,62
161634,2033,49,1,10,32265,2,5,2,0,0,36,290,57
161634,2032,49,1,16,50614,10,3,0,0,2,37,382,62
161634,2031,4864,14,26,89710,16,8,1,1,5,55,637,66
161634,2030,4864,14,29,104590,17,11,1,2,6,60,811,74
161634,2029,1562,111,23,80115,12,9,2,1,0,52,663,47
161634,2028,1562,111,22,66004,8,13,1,2,1,55,557,46
161634,2027,265,35,5,15826,2,1,2,0,0,19,143,52
161634,2026,4981,111,27,84466,13,13,1,2,0,65,725,41
161634,2025,4969,110,33,118328,18,11,4,3,0,92,1038,40
196339,2033,4771,184,4,14030,2,1,1,0,0,7,133,39
196339,2032,4770,185,4,11636,3,1,0,0,0,11,101,40
174665,2034,4678,243,17,59823,10,6,1,1,1,31,509,68
174665,2033,138,13,39,134908,18,18,2,3,1,133,1168,60
174665,2032,138,13,31,98826,8,17,3,1,1,107,877,58
174665,2031,138,13,41,141411,19,17,3,4,3,129,1252,65
174665,2030,1565,105,31,113167,19,10,2,1,0,72,945,59
174665,2029,4185,111,23,86362,14,7,2,0,0,37,708,43
174665,2028,2007,110,26,89378,13,12,1,2,0,89,775,41
191390,2034,121,11,18,59351,8,8,1,1,0,54,499,58
191390,2034,1564,105,7,24459,6,1,0,0,0,14,196,74
191390,2033,121,11,6,21701,2,3,1,1,1,22,202,63
191390,2033,1564,105,28,98767,16,8,4,2,0,78,837,65
191390,2032,1562,111,25,85703,19,3,3,0,0,53,731,46
191390,2031,2621,110,32,109608,21,7,4,1,0,69,890,40
174666,2034,3918,34,10,36092,6,3,1,2,0,20,293,54
174666,2033,3918,34,27,87858,17,9,1,1,0,69,779,52
174666,2032,4185,111,21,74553,12,7,2,1,0,38,625,55
174666,2032,3918,34,1,3546,0,1,0,0,0,2,32,66
174666,2031,4776,109,33,118394,22,9,2,3,1,76,964,58
174666,2030,4776,109,26,92860,14,9,3,2,0,75,781,57
174666,2029,4185,111,23,83086,17,4,2,2,0,40,689,41
174666,2028,2007,110,26,95597,14,12,0,4,0,91,804,40
201435,2034,3608,191,5,18000,3,1,1,0,0,12,150,41
201435,2033,3652,192,2,7115,1,1,0,0,0,5,66,41
206235,2034,2012,110,13,43510,7,6,0,0,0,43,356,37
191394,2034,1562,111,13,46282,7,3,3,0,1,23,373,51
191394,2033,1562,111,20,56259,4,14,2,5,0,70,459,52
191394,2032,1562,111,24,78790,14,8,2,2,0,54,657,42
191394,2031,2621,110,32,106425,15,15,2,4,0,102,886,40
161646,2029,5002,243,14,49882,8,5,1,1,0,30,415,58
161646,2028,4776,109,29,98276,17,12,0,0,0,85,822,58
161646,2027,4776,109,31,105285,16,11,4,6,0,96,887,57
161646,2026,4776,109,29,98258,18,7,4,1,0,76,791,44
161646,2025,4969,110,30,103666,16,10,4,2,0,89,867,41
206240,2034,2012,110,16,51605,9,6,1,2,0,52,432,38
196355,2034,2335,136,2,7200,1,1,0,0,0,6,59,44
196355,2033,3265,181,2,7734,1,1,0,0,0,7,67,41
196355,2032,3338,182,2,7136,1,1,0,0,0,5,61,42
206246,2034,2012,110,18,65663,11,5,2,0,0,52,556,37
185835,2034,4902,65,3,11340,1,1,1,0,0,11,103,40
185835,2033,3240,178,8,23179,5,3,0,0,0,19,203,39
185835,2032,4903,179,1,3600,1,0,0,0,0,4,27,41
