League Id,Date,Type,Game Id,PlayerId,TeamId,Game Rating,SA,GA,SV,SV%,TOI,PIM
0,2003-9-25,Pre-Season,1288,412,31,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1288,1558,16,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1288,1890,16,100,35,0,35,1.000,3600000,0
0,2003-9-25,Pre-Season,1288,2086,31,80,35,3,32,.914,3600000,0
0,2003-9-25,Pre-Season,1290,1128,3,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1290,1389,35,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1290,1602,3,89,35,2,33,.943,3600000,0
0,2003-9-25,Pre-Season,1290,2013,35,87,38,3,35,.921,3600000,0
0,2003-9-25,Pre-Season,1276,1265,23,94,33,2,31,.939,3600000,0
0,2003-9-25,Pre-Season,1276,1374,14,47,22,4,18,.818,3572000,0
0,2003-9-25,Pre-Season,1276,2037,23,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1276,2883,14,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1284,1451,29,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1284,1598,29,88,42,3,39,.929,3595000,0
0,2003-9-25,Pre-Season,1284,1907,8,78,22,1,21,.955,3600000,0
0,2003-9-25,Pre-Season,1284,2182,8,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1262,1655,28,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1262,1838,27,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1262,1959,28,82,19,0,19,1.000,3900000,0
0,2003-9-25,Pre-Season,1262,2347,27,100,33,0,33,1.000,3900000,0
0,2003-9-25,Pre-Season,1264,1329,20,89,35,2,33,.943,3579000,0
0,2003-9-25,Pre-Season,1264,1572,9,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1264,1695,9,79,20,1,19,.950,3600000,0
0,2003-9-25,Pre-Season,1264,2122,20,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1266,1607,19,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1266,1754,32,95,36,2,34,.944,3561000,0
0,2003-9-25,Pre-Season,1266,2214,19,81,13,0,13,1.000,3600000,0
0,2003-9-25,Pre-Season,1266,2246,32,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1274,194,15,85,35,2,33,.943,3600000,0
0,2003-9-25,Pre-Season,1274,909,10,67,30,3,27,.900,3559000,0
0,2003-9-25,Pre-Season,1274,1089,15,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1274,1354,10,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1270,1174,26,89,31,1,30,.968,3600000,0
0,2003-9-25,Pre-Season,1270,1215,26,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1270,1426,0,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1270,2180,0,69,34,3,31,.912,3576000,0
0,2003-9-25,Pre-Season,1272,1188,34,55,32,4,28,.875,3600000,0
0,2003-9-25,Pre-Season,1272,1318,34,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1272,1621,22,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1272,2813,22,78,24,1,23,.958,3600000,0
0,2003-9-25,Pre-Season,1268,458,17,47,34,5,29,.853,3564000,0
0,2003-9-25,Pre-Season,1268,1150,17,0,0,0,0,.00nan,0,0
0,2003-9-25,Pre-Season,1268,1258,18,44,18,3,15,.833,3600000,0
0,2003-9-25,Pre-Season,1268,1494,18,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1312,412,31,62,27,3,24,.889,3560000,0
0,2003-9-27,Pre-Season,1312,1907,8,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1312,2086,31,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1312,2182,8,77,36,2,34,.944,3600000,0
0,2003-9-27,Pre-Season,1308,212,30,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1308,1433,30,75,31,2,29,.935,3600000,0
0,2003-9-27,Pre-Season,1308,2212,12,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1308,2213,12,91,21,0,21,1.000,3600000,0
0,2003-9-27,Pre-Season,1314,194,15,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1314,1089,15,90,41,2,39,.951,3900000,0
0,2003-9-27,Pre-Season,1314,1265,23,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1314,2037,23,44,12,2,10,.833,3900000,0
0,2003-9-27,Pre-Season,1316,295,11,88,33,1,32,.970,3590000,0
0,2003-9-27,Pre-Season,1316,884,25,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1316,1235,11,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1316,2050,25,100,36,0,36,1.000,3600000,0
0,2003-9-27,Pre-Season,1318,1389,35,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1318,2013,35,70,22,2,20,.909,3900000,0
0,2003-9-27,Pre-Season,1318,2143,24,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1318,2273,24,65,21,2,19,.905,3900000,0
0,2003-9-27,Pre-Season,1320,909,10,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1320,1295,33,90,43,3,40,.930,3600000,0
0,2003-9-27,Pre-Season,1320,1354,10,93,37,2,35,.946,3600000,0
0,2003-9-27,Pre-Season,1320,1871,33,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1306,1754,32,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1306,1838,27,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1306,2246,32,100,15,0,15,1.000,3600000,0
0,2003-9-27,Pre-Season,1306,2347,27,62,38,4,34,.895,3600000,0
0,2003-9-27,Pre-Season,1310,1198,21,73,36,3,33,.917,3591000,0
0,2003-9-27,Pre-Season,1310,1607,19,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1310,2065,21,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1310,2214,19,65,23,2,21,.913,3600000,0
0,2003-9-27,Pre-Season,1292,1329,20,57,27,3,24,.889,3720000,0
0,2003-9-27,Pre-Season,1292,1374,14,68,39,4,35,.897,3720000,0
0,2003-9-27,Pre-Season,1292,2122,20,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1292,2883,14,0,0,0,0,.00nan,0,0
0,2003-9-27,Pre-Season,1294,1558,16,0,0,0,0,.00nan,0,0
